,close,datetime,high,low,open,volume,sma_10,sma_30,sma_100,bsh
0,236.09,2020-02-19 14:30:00,236.22,236.02,236.05,357439,,,,hold
1,236.19,2020-02-19 14:31:00,236.19,235.85,236.07,143413,,,,hold
2,236.33,2020-02-19 14:32:00,236.44,236.21,236.21,184066,,,,hold
3,236.0,2020-02-19 14:33:00,236.38,235.89,236.34,366050,,,,hold
4,236.18,2020-02-19 14:34:00,236.29,235.965,236.01,217837,,,,hold
5,236.33,2020-02-19 14:35:00,236.355,236.16,236.16,141944,,,,hold
6,236.33,2020-02-19 14:36:00,236.445,236.22,236.32,261757,,,,hold
7,236.235,2020-02-19 14:37:00,236.37,236.2,236.33,75336,,,,hold
8,236.2863,2020-02-19 14:38:00,236.35,236.22,236.24,86556,,,,hold
9,236.3954,2020-02-19 14:39:00,236.43,236.2726,236.2726,94444,236.23667,,,hold
10,236.477,2020-02-19 14:40:00,236.49,236.37,236.4,49151,236.27536999999998,,,hold
11,236.5652,2020-02-19 14:41:00,236.57,236.48,236.4838,67515,236.31288999999998,,,hold
12,236.53,2020-02-19 14:42:00,236.58,236.52,236.54,45762,236.33289,,,hold
13,236.409,2020-02-19 14:43:00,236.54,236.409,236.52,111238,236.37379,,,hold
14,236.32,2020-02-19 14:44:00,236.42,236.32,236.4,64940,236.38779000000005,,,hold
15,236.39,2020-02-19 14:45:00,236.44,236.33,236.33,44700,236.39379000000002,,,hold
16,236.49,2020-02-19 14:46:00,236.505,236.3846,236.3846,36714,236.40979000000007,,,hold
17,236.44,2020-02-19 14:47:00,236.54,236.44,236.49,53294,236.43029000000007,,,hold
18,236.46,2020-02-19 14:48:00,236.53,236.45,236.45,76957,236.44766000000004,,,hold
19,236.51,2020-02-19 14:49:00,236.5263,236.47,236.47,63611,236.45912000000004,,,hold
20,236.4656,2020-02-19 14:50:00,236.52,236.46,236.52,62547,236.45798000000005,,,hold
21,236.5238,2020-02-19 14:51:00,236.5238,236.371,236.46,65557,236.45384000000004,,,hold
22,236.6,2020-02-19 14:52:00,236.63,236.5,236.52,87034,236.46084000000002,,,hold
23,236.665,2020-02-19 14:53:00,236.7,236.6,236.6,42983,236.48644,,,hold
24,236.635,2020-02-19 14:54:00,236.6808,236.62,236.67,42089,236.51793999999995,,,hold
25,236.69,2020-02-19 14:55:00,236.71,236.6243,236.63,41990,236.54793999999998,,,hold
26,236.6712,2020-02-19 14:56:00,236.69,236.655,236.68,45169,236.56606000000002,,,hold
